Price,Close,High,Low,Open,Volume
Ticker,BSE.NS,BSE.NS,BSE.NS,BSE.NS,BSE.NS
Date,,,,,
2017-05-10,259.0498352050781,262.11550260945637,258.50423883832565,261.36209058936373,159759
2017-05-11,259.790283203125,260.7775324283102,259.02386040801304,260.5826799816105,540183
2017-05-12,255.07484436035156,261.05031157257844,254.08759511721232,259.93316862451013,359130
2017-05-15,259.28363037109375,260.24490554824024,255.95815200921783,255.95815200921783,193620
2017-05-16,275.11871337890625,283.0297192698772,260.3358989612558,260.3748837284811,3478038
2017-05-17,278.3532409667969,281.7566656227342,274.7419768520437,275.33952124256456,948864
2017-05-18,280.7434387207031,282.66596558298943,273.0532599144547,275.807168387063,925086
2017-05-19,278.8468322753906,285.7576004900849,275.651247460489,281.88652562197564,550878
2017-05-22,277.22308349609375,281.36695698192483,276.9503090760572,280.32773591584373,242208
2017-05-23,274.1054382324219,279.0287214662947,267.8831703186531,276.6904919568006,552240
2017-05-24,274.2873229980469,276.6125656786315,271.68930588405584,274.7939584559782,932703
2017-05-25,270.8839416503906,275.65133450246583,269.4160543720748,274.28736697394277,385638
2017-05-26,273.8975830078125,275.65125503894416,269.54589419510006,269.54589419510006,604314
2017-05-29,277.37896728515625,281.1071379696966,272.79344102881385,273.05325223455094,360378
2017-05-30,276.6774597167969,279.2755000088102,273.8326190359609,276.56055301758107,179373
2017-05-31,284.06890869140625,285.78359604382035,276.67750230814823,276.69048930053845,940320
2017-06-01,283.2115783691406,287.1475888422635,280.912309654297,284.5495717044124,346197
2017-06-02,287.64117431640625,289.4208441182283,281.88653360265727,283.1855657802104,632751
2017-06-05,293.9804382324219,294.8767787228713,287.8620890211566,288.2517940045852,573195
2017-06-06,286.9136962890625,294.83768681067346,286.21223233094014,293.5776395697684,205374
2017-06-07,286.1602783203125,289.6806091047621,284.48455215380625,287.6021910815192,161073
2017-06-08,283.7052001953125,288.12184831374174,282.2373131536418,287.0436662173943,172536
2017-06-09,290.6419372558594,294.0973337162813,281.1071532925517,283.70519413443793,876051
2017-06-12,288.4855651855469,294.69487002068536,286.04341589981766,290.4470768098,311877
2017-06-13,285.3679504394531,292.2527459942653,284.48462078255415,288.3816703823152,203253
2017-06-14,284.302734375,289.68065766977514,283.3154850538047,287.9659702434838,177078
2017-06-15,281.4058532714844,286.92667972398203,280.8732677609316,283.4713079360533,208044
2017-06-16,279.3924560546875,283.57529048432923,278.249315270015,282.6659631393848,221349
2017-06-19,288.381591796875,290.4340357744009,280.61346870201663,280.61346870201663,524730
2017-06-20,286.13427734375,290.7717743254825,285.52374612085873,289.60265983788895,206199
2017-06-21,286.8617858886719,289.1350804758478,286.04341506013714,287.147571086162,155475
2017-06-22,283.45831298828125,290.4600134551376,282.9776991958144,289.86246917649004,318300
